unit_idx,mimic_unit
3,no uom
3,
5,bpm
6,dynes*sec/cm5/m2
7,insp/min
9,mEq
10,mEq/L
11,mmHg
12,cm3
13,°F
14,/hour
15,IU/L
17,mg/dL
18,pg
19,K/uL
20,ng/mL
21,dynes.sec.cm-5/m2
23,ml/min
24,mmol
26,mA
27,mg/L
28,cmH2O
29,kg
30,mL
31,g/dl
32,ml/kg
33,msec
34,g/dL
35,nL
36,kcal/kg
37,Liters
38,mEq.
39,°C
41,dose
42,cm
43,ml/hr
44,hour
45,mmol/L
46,/min
47,dynes*sec/cm5
48,uL
49,L/min
50,#/uL
51,units
52,mm/hr
53,nMol/ml/min
54,ug/mL
55,g/kg
57,mmHg.
58,mg
59,Inch
61,%
62,mcg
63,psi
64,mV
65,ounces
66,pL
67,cmH2O/L/seconds
68,mL/beat
69,min
70,mOsm/kg
71,pg/mL
72,sec
73,L/min/m2
74,grams
75,ppm
76,ug/dL
77,ml
78,umol/L
79,mL/m2
80,L
